doc_id,User Names,Reviews,cleaned_data,sentiments
0,morino-59166,"When I saw the magnificent Heath ledger a few years a go in his excellent role as a joker I doubted that any one can make such an amazing performance as Heath did . Years after Heath tragic death 💔 that break our hearts Joaquin Phoenix bring the tears into our eyes again for this masterpiece , I can't really find the words to describe how Phoenix was great , the cinematography is absolutely amazing the music is outstanding, I know that Phoenix is a great actor especially in his beautiful role in HER but actually in his new role as ajoker I think he put a new standard out there and I doubt that it will be some years before any one could reach it",when i saw magnificent heath ledger years go excellent role joker i doubted one make amazing performance heath years heath tragic death break hearts joaquin phoenix bring tears eyes masterpiece i cant really find words describe phoenix great cinematography absolutely amazing music outstanding i know phoenix great actor especially beautiful role her actually new role ajoker i think put new standard i doubt years one could reach,positive
1,asassandroo,"I can say that i'm really grateful that movies like this one haven't died yet. I waited so long for this movie, wishing not to be bad one. I went to the theater with so much hope because of the reviews here. I finished the movie in completely silence.. i really thought that i should see it again even though it was 2 am. I never really had this kind of feeling since interstellar. It's a masterpiece.. everything excellent and has been done with passion. Thanks Joaquin And Tod for this movie. I'm SPEECHLESS. It's pure drama my friends just don't miss it go and watch it and put on a happy face, or silent one i could say.",i say im really grateful movies like one havent died yet i waited long movie wishing bad one i went theater much hope reviews i finished movie completely silence really thought see even though i never really kind feeling since interstellar its masterpiece everything excellent done passion thanks joaquin and tod movie im speechless its pure drama friends dont miss go watch put happy face silent one could say,positive
2,samanehdds,"I'm not a fan of Batman movies but went to see this with my teenage son. It's truly one of the best movies I have ever seen. I have never felt a movie to be PERFECT, but this movie truly I s. They just don't make movies like this anymore with the perfect story, script, cinematography, score, acting! It will be revered as a cinematic masterpiece. And I do appreciate the political statement it's making. It's not condoning violence. It's trying to reveal what harm mental illness which is ignored by society and even bullied and ridiculed can do. Just saw it for a second time tonight! Will watch again!",im fan batman movies went see teenage son its truly one best movies i ever seen i never felt movie perfect movie truly i they dont make movies like anymore perfect story script cinematography score acting it revered cinematic masterpiece and i appreciate political statement making its condoning violence its trying reveal harm mental illness ignored society even bullied ridiculed just saw second time tonight will watch,positive
3,guillevica,"What a master piece, it so so wondeful, all in this movie is great: the construction of the movie, the ending, the performances, all is amazing Just to be honest I wantt o go again and watch one more time marvelous",what master piece wondeful movie great construction movie ending performances amazing just honest i wantt go watch one time marvelous,positive
4,ahurworth,"Has to be the best movie I've seen in years. It has the feel of Taxi Driver (De Niro). Joaquin Phoenix is just superb, he plays the part so well. The movies pace is just right, you watch a crazy guy that is also a nice guy become slowly criminal, and what the movie does is make you understand and empathise with how it happens. I want to see this movie again and again.",has best movie ive seen years it feel taxi driver de niro joaquin phoenix superb plays part well the movies pace right watch crazy guy also nice guy become slowly criminal movie make understand empathise happens i want see movie,positive
5,aldaihani-92034,"Nice movie, such a great performance from Joaquin deserve the Oscar with no doubt, Great cinematography, great music, the movie take comics cinema to another level.",nice movie great performance joaquin deserve oscar doubt great cinematography great music movie take comics cinema another level,positive
6,mic-41312,Going for a 3rd view tomorrow....2hr film time flies by. Mesmerizing performance by phoenix.,going rd view tomorrowhr film time flies mesmerizing performance phoenix,positive
7,rymd_kamelen,"Even if I didn't love the character that is the Joker, I would still love this movie. Just came out from the cinema, and what is there to complain about? Nothing.

Brilliant scenery, superb acting. The way they cut the trailers was fantastic in relationship to the actual movie. Just watch it!",even i didnt love character joker i would still love movie just came cinema complain nothingbrilliant scenery superb acting the way cut trailers fantastic relationship actual movie just watch,neutral
8,loricossette-20061,"My God, this film is freaking amazing, and Phoenix gives the best performance ever. Think of Heath, a genius that deserved the Oscar, go the other way. Polar opposite interpretations. But both flawless and deserving of awards. See this film. If Phoenix does not get the Oscar, I will riot. Amazing.",my god film freaking amazing phoenix gives best performance ever think heath genius deserved oscar go way polar opposite interpretations but flawless deserving awards see film if phoenix get oscar i riot amazing,positive
9,MGPT80,"There isn't much else to say; Joker is one of the most absorbing, powerful films ever made. The cinematography is remarkable and the score is just perfectly potent and understated. This is not a thrill-a-minute movie designed to keep you entertained throughout. It is a heavy, all-consuming character study that invites you, with reluctance and fascination, into the mind of a severely disturbed outcast. I don't remember any movie leaving me feeling so emotionally disoriented as I left the cinema.

The performance by Joaquin Phoenix is something very special indeed. We spend nearly the full two hours just watching him close up and every second is exhilarating. Rarely, if ever, has a character been so utterly captivating, so desperate and so tragic. His physical acting, from writhing in anguish to dancing with warped delight, is utterly mesmerising. And not once did he ever lay it on too thick. To portray that level of pain and fury without indulging in excess morbidity or melodrama is quite an achievement.

Forget where this masterpiece fits into the world of DC comics and Batman movies; Joker is a stand-alone film that deservedly takes its place amongst the greats.",there isnt much else say joker one absorbing powerful films ever made the cinematography remarkable score perfectly potent understated this thrillaminute movie designed keep entertained throughout it heavy allconsuming character study invites reluctance fascination mind severely disturbed outcast i dont remember movie leaving feeling emotionally disoriented i left cinemathe performance joaquin phoenix something special indeed we spend nearly full two hours watching close every second exhilarating rarely ever character utterly captivating desperate tragic his physical acting writhing anguish dancing warped delight utterly mesmerising and ever lay thick to portray level pain fury without indulging excess morbidity melodrama quite achievementforget masterpiece fits world dc comics batman movies joker standalone film deservedly takes place amongst greats,positive
